vars,isaac,base,dynamic
i6_xz,0,-6e-05,-6e-05
i6_xy,0,-0.000181,-0.000181
i6_yz,0,-9.6e-05,-9.6e-05
h6_z,0,0.002672,0.002672
h6_x,0,0.005028,0.005028
i5_xy,0,0.003526,0.003526
i6_yy,0.000144,0.000146,0.000146
i5_zz + i6_zz,0.000205,0.011631,0.000402
h5_y + h6_y,0.018584,0.013898,0.007997
h5_x,0,0.012886,0.012886
0.12*h5_y + i5_yz,0,0.00137,0.000662
h4_x,0,-0.007781,-0.007781
h4_z + h5_z + 0.12*m6,0.2352,0.20846,0.036567
i4_xz,0,-0.000264,-0.000264
i5_xz,0,-0.00458,-0.00458
i4_xy,0,-0.000732,-0.000732
i6_xx + i5_zz,0.000144,0.01155,0.00032
h3_z + 0.571*m4 + 0.571*m5 + 0.571*m6,1.104885,2.637187,1.392018
0.352*h2_y + 0.078*h3_y + 0.078*h4_y + i4_xx + i1_zz + i5_xx + i2_zz + i3_zz + im1 + 0.030976*m2 + 0.0015210000000000093237084719532959*m3 + 0.0015210000000001639309382683862282*m4 + 0.030275999999999969602981764182914*m5 + 0.044676000000000354317464257292158*m6,0.005108,0.487046,0.006778
0.135*h4_z + i4_yz,0,0.004445,-0.015161
i2_xz,0,-0.115212,-0.115212
h3_x,0,0.021551,0.021551
i3_xx + 0.32604099999999980319387304916745*m4 + 0.3260409999999999142161755116831*m5 + 0.3260409999999996921715705866518*m6,0.11059,1.155503,0.488696
i3_xz,0,-0.006312,-0.006312
i2_xy,0,-0.123461,-0.123461
i2_yz + 0.0839809999999999723385712968593*m3 + 0.083980999999999847438481026529189*m4 + 0.001225999999999851123796967833357*m5 + 0.0012259999999999098875547165476974*m6,0,0.5578,0.391319
0.352*h2_y + 0.078*h3_y + 0.078*h4_y + i4_xx + i1_zz + i2_zz + i3_zz + i5_yy + im1 + 0.030976*m2 + 0.0015210000000000622327744892459123*m3 + 0.0015210000000002174905255891701472*m4 + 0.030276000000000063278049466930497*m5 + 0.044676000000000444523085008086127*m6,0.005108,0.506189,0.014691
i3_yz,0,-0.257933,-0.120811
i2_xx + 0.37576900000000001966782292583957*m3 + 0.37576900000000013069012538835523*m4 + 0.37576900000000018620127661961305*m5 + 0.37576899999999985313436923206609*m6,0.423074,3.068945,1.211044
i3_xy,0,-0.005535,-0.005535
i3_yy + 0.32604099999999996972732674294093*m4 + 0.32604099999999985870502428042528*m5 + 0.32604099999999985870502428042528*m6,0.11059,1.176948,0.465956
im5,0,0,0
0.352*h2_y + 0.078*h3_y + 0.078*h4_y + i1_zz + i2_zz + i3_zz + i4_zz + im1 + 0.030976*m2 + 0.0015209999999999852544202427750974*m3 + 0.0015210000000002265978238380483845*m4 + 0.030276000000000045930814707162426*m5 + 0.030276000000000219403162304843136*m6,0.005513,0.478742,0.021098
im6,0,0,0
im3,0,0,0
im4,0,0,0
i2_yy + im2 + 0.37576900000000018620127661961305*m3 + 0.37576900000000018620127661961305*m4 + 0.37576899999999996415667169458175*m5 + 0.37576900000000024171242785087088*m6,0,3.799863,0.141836
i4_yy,0.005108,-0.471397,0.016901
h2_z + 0.613*m3 + 0.613*m4 + 0.613*m5 + 0.613*m6,3.963045,7.348352,3.402053
h2_x,0,-0.327877,-0.327877
