sim_time_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6
0,0.000598621,-1.570812583,-0.001406777,-1.595333457,0.001028079,-0.001162382,0.039854398,-0.039549992,-0.131843197,-0.707086308,0.086542556,-0.095150845,-0.013176876,0.005924766,0.022784004,0.077293255,-0.022262448,0.031791078,-1.708405852,2.85376215,3.799286842,18.18672943,-0.497437,0.053059377
0.020000001,0.001433076,-1.572029471,-0.004882317,-1.593246818,0.003917616,-0.004145035,0.041471905,-0.043721216,-0.112032018,-0.455057784,0.067225294,-0.08677063,-0.056209443,0.159527258,0.351760852,1.628380657,-0.21230958,0.352495478,-2.452644587,10.38514042,9.280672073,8.966108322,-1.497777939,0.131753266
0.040000002,0.002199566,-1.573952079,-0.007635604,-1.579704642,0.007011485,-0.00756345,0.042407325,-0.04559515,-0.091928418,-0.227053959,0.048884309,-0.076271791,-0.098403156,0.314089253,0.653376009,2.910567568,-0.381159324,0.655333236,-3.076590061,20.85857391,11.73898983,-0.195506096,-2.219768763,0.184515461
0.060000003,0.003182693,-1.575874686,-0.008994619,-1.56921041,0.008532517,-0.010110637,0.042112319,-0.043304075,-0.071318298,-0.042518317,0.032357526,-0.061991181,-0.138292937,0.468713301,0.903972056,3.713398705,-0.511432865,0.923572075,-4.260405064,28.63588333,12.31139183,-3.621441603,-2.287006617,0.199894711
0.080000004,0.004361285,-1.577103019,-0.009606997,-1.566799521,0.008140765,-0.011300495,0.040283303,-0.035736465,-0.050131747,0.087060199,0.018219165,-0.043061642,-0.173356345,0.619377945,1.086478785,3.928143499,-0.592379392,1.142640536,-5.383194923,31.78635979,12.67229843,-2.091082811,-1.877020359,0.189293787
0.100000005,0.005418373,-1.5774616,-0.010101001,-1.569874167,0.006786468,-0.011349967,0.036922544,-0.022690497,-0.028482786,0.159516917,0.00668678,-0.019555226,-0.199961288,0.758706516,1.191972644,3.565379044,-0.621049343,1.301072222,-5.813874722,31.70843124,13.38015079,0.971517324,-1.409164071,0.168766171
0.120000006,0.006120918,-1.577167869,-0.010560135,-1.573753715,0.005674678,-0.010702422,0.032340412,-0.004834222,-0.006682275,0.181250438,-0.002404184,0.007583784,-0.213719517,0.876857281,1.219744906,2.744258304,-0.601678911,1.391282606,-5.543485641,30.43843079,14.04028511,2.947333097,-1.185058475,0.147238716
0.140000007,0.006495951,-1.576485038,-0.010720829,-1.575588584,0.00542793,-0.009662738,0.027100345,0.016496759,0.014775597,0.164803805,-0.009533104,0.036772943,-0.210173265,0.963306344,1.176106115,1.658492464,-0.543657478,1.410116041,-4.964130402,29.04337883,14.0975523,3.187509537,-1.244022846,0.125121906
0.160000008,0.006725756,-1.575538993,-0.010336797,-1.575104117,0.005914736,-0.008307656,0.02192169,0.039598441,0.035251842,0.125612807,-0.015337442,0.06611453,-0.185649372,1.00905101,1.072392938,0.529424971,-0.458774204,1.359080247,-4.404809952,27.48431015,13.32422543,2.374985695,-1.433902383,0.098848186
0.180000009,0.006973756,-1.574325919,-0.009366433,-1.573471427,0.006577778,-0.006583368,0.017564533,0.062717608,0.054023503,0.07878818,-0.020406392,0.093723105,-0.138073094,1.008667144,0.922713844,-0.441558669,-0.358521642,1.244185624,-3.944115162,25.33019066,11.86713982,1.450691938,-1.561855912,0.065519907
0.20000001,0.007299243,-1.572777152,-0.007941674,-1.571853995,0.006875443,-0.004437154,0.014721833,0.084324878,0.070360635,0.036600593,-0.025089354,0.11799105,-0.067549082,0.961718734,0.741896793,-1.110536303,-0.25209414,1.075342618,-3.476338387,22.28730011,10.02373314,0.908216774,-1.509246707,0.024884883
