time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d
0,0,-1.570796327,0,-1.570796327,0,0,-5.33E-15,8.88E-15,1.07E-14,1.07E-14,1.07E-14,-3.55E-15
0.1,0.000391083,0.000356022,0.00026118,0.000588091,0.000621891,0.00029184,0.011302253,0.010372837,0.007200859,0.016806518,0.018019386,0.008405227
0.2,0.002794509,0.002611232,0.001603073,0.004054701,0.004473856,0.002064615,0.038679085,0.036890901,0.019398266,0.054514766,0.062186508,0.028367491
0.3,0.008374813,0.008074254,0.003916353,0.011625209,0.013472618,0.006123787,0.073552096,0.073650905,0.024976646,0.096359832,0.118819249,0.053133814
0.4,0.017525186,0.017525132,0.006101417,0.02301304,0.028257197,0.012675125,0.109094197,0.115956714,0.015760867,0.128914753,0.176111153,0.077461913
0.5,0.030047312,0.031327161,0.00641393,0.036764935,0.048394533,0.021474433,0.140306585,0.160136883,-0.01298318,0.142292803,0.224475956,0.097584287
0.6,0.04533379,0.049519331,0.002801714,0.050618172,0.072614266,0.031971007,0.163993984,0.203342271,-0.062720824,0.130183539,0.256783228,0.111119169
0.7,0.062543195,0.071888269,-0.00678375,0.061853093,0.099060994,0.043439703,0.178643452,0.243341402,-0.131981359,0.089723786,0.268470442,0.116932921
0.8,0.080758642,0.098020314,-0.024116247,0.067624867,0.125551225,0.055097119,0.184217995,0.2783303,-0.216829448,0.021214099,0.257524265,0.114961235
0.9,0.099122107,0.127335913,-0.050476601,0.065259953,0.149821925,0.066198226,0.181881248,0.306771383,-0.311445184,-0.072300178,0.22433189,0.105998811
1,0.116938604,0.159109862,-0.086496414,0.052504957,0.16975803,0.076110867,0.173673434,0.327272867,-0.408776645,-0.1855568,0.17141118,0.09146894
1.1,0.133746462,0.192481831,-0.132069004,0.027718588,0.183587555,0.084366721,0.162161394,0.338516215,-0.501224786,-0.311681325,0.103035795,0.073185469
1.2,0.149352301,0.226462196,-0.186328729,-0.009999222,0.190034896,0.090688626,0.150086507,0.339234769,-0.581319152,-0.442832835,0.024777947,0.053119933
1.3,0.163831672,0.259938248,-0.247695729,-0.060743272,0.18842541,0.094995378,0.140033835,0.328242163,-0.642344002,-0.57085339,-0.057003616,0.033186198
1.4,0.17749858,0.291685514,-0.313979246,-0.123802636,0.178737344,0.097386351,0.134143829,0.304504693,-0.678878152,-0.687884729,-0.135699424,0.015053725
1.5,0.190849057,0.320388115,-0.382529298,-0.197718838,0.161600337,0.098109265,0.133884523,0.267247971,-0.687217732,-0.786918657,-0.204976617,-1.26E-06
1.6,0.204485575,0.344670986,-0.45042379,-0.280394519,0.138242937,0.097515265,0.13989766,0.216085026,-0.665658823,-0.862252461,-0.259266081,-0.011199874
1.7,0.21903012,0.363145358,-0.51467625,-0.369241955,0.110394649,0.096006005,0.151926871,0.151150887,-0.614626127,-0.90982727,-0.29418034,-0.018315832
1.8,0.235034311,0.374467361,-0.572448541,-0.461358918,0.080150696,0.093977704,0.168830218,0.073227728,-0.536643701,-0.927434967,-0.306837542,-0.021680989
1.9,0.252894867,0.37740801,-0.621252951,-0.553718374,0.049809892,0.09176706,0.188673543,-0.01615512,-0.43615391,-0.914787767,-0.296072847,-0.02214308
2,0.272782095,0.370931338,-0.659129216,-0.643358358,0.02169752,0.089603584,0.208895491,-0.114660459,-0.319200316,-0.873453136,-0.262525631,-0.020980745
2.1,0.294587884,0.354276136,-0.684784006,-0.727559017,-0.00201412,0.087572265,0.226530167,-0.219133389,-0.192998746,-0.806665043,-0.208598754,-0.019783347
2.2,0.317898128,0.327035788,-0.697683193,-0.803995348,-0.019474826,0.08558961,0.238469475,-0.325650313,-0.065427642,-0.719029848,-0.138294193,-0.02030526
2.3,0.341992503,0.289230088,-0.698090612,-0.870856237,-0.029303472,0.083395084,0.241744522,-0.429630437,0.055526347,-0.616151254,-0.056937123,-0.024305731
2.4,0.365872434,0.241362807,-0.687050731,-0.926923144,-0.030702584,0.080558782,0.233804207,-0.526008661,0.162329091,-0.504203047,0.029192501,-0.033386202
2.5,0.388315872,0.184459136,-0.66631655,-0.971604736,-0.023532461,0.076505003,0.212769371,-0.609463917,0.2484276,-0.389480833,0.113295962,-0.048836957
2.6,0.407955422,0.120077938,-0.638227749,-1.004926969,-0.008339517,0.070550228,0.177642606,-0.674692378,0.308710571,-0.27796433,0.188530338,-0.071504222
2.7,0.423374523,0.050295033,-0.605547517,-1.027481183,0.013663452,0.061952943,0.128456897,-0.716710924,0.339869696,-0.174920113,0.2484901,-0.101687389
2.8,0.433214881,-0.022344645,-0.571269255,-1.040335608,0.040664187,0.049971925,0.066350533,-0.731173033,0.340637336,-0.084571104,0.287663908,-0.139073975
