time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d,q1d2,q2d2,q3d2,q4d2,q5d2,q6d2
0,0,-1.57079632679489,0,-1.5707963267949,0,0,-1.15463194561016e-14,-2.48689957516035e-14,1.06581410364015e-14,-7.105427357601e-15,-1.77635683940025e-15,0,-8.88178419700125e-16,8.88178419700125e-16,1.33226762955019e-15,1.55431223447522e-15,-1.33226762955019e-15,5.32907051820075e-15
0.01,2.85263141108771e-07,-1.57079596234207,9.29463439547362e-08,-1.57079619795913,7.76188642248599e-08,6.30030854154029e-08,8.54518637458668e-05,0.000109188674880301,2.78156228077364e-05,3.86211884446652e-05,2.32324300100117e-05,1.87188722620135e-05,0.0170395306460511,0.0217788596021959,0.00553581369282785,0.00771239249368044,0.00462520712625825,0.00367104876077562
0.02,2.2719335106558e-06,-1.57079342294956,7.38108823838957e-07,-1.57079529848365,6.16697917621423e-07,4.89497423927787e-07,0.000339772298760366,0.000434398702186201,0.000110170181105929,0.000154008038855125,9.20799250767601e-05,7.19755541354061e-05,0.03377356901788,0.0432041737843072,0.0109078003656315,0.0153528420563944,0.00912314982776241,0.00690847348253065
0.03,7.63340794662781e-06,-1.57078656609056,2.47268685882318e-06,-1.57079286433797,2.06703830940569e-06,1.60327141429661e-06,0.000759902124030098,0.000972091803419062,0.000245425843402813,0.000345432430716386,0.000205273985720567,0.000155461265720191,0.0502012733530774,0.0642753853627713,0.0161160518388719,0.0229196123549378,0.0134946610730444,0.00971777758268377
0.04,1.80124504254309e-05,-1.57077328464808,5.81750659023328e-06,-1.57078813885941,4.86579836689316e-06,3.68530193384231e-06,0.00134277403834027,0.00171872435885945,0.000431945818949231,0.000612148938504475,0.000361554561978394,0.000264922598560702,0.0663218614431269,0.0849919833158443,0.0211606844585976,0.0304109788358118,0.0177405977343112,0.0121045317089257
0.05,3.50211136748158e-05,-1.57075150696635,1.12770324314226e-05,-1.57078037292561,9.4375790880008e-06,6.97431123342085e-06,0.00208531321792016,0.00267074787044663,0.000668094603735625,0.000953394952812658,0.000559670290572356,0.000396162181154125,0.0821346110540695,0.105353503038664,0.0260418392556927,0.0378252293682748,0.0218618402174178,0.0140743723686398
0.06,6.02406672101097e-05,-1.57071919689679,1.93393812750742e-05,-1.57076882512567,1.61945121917029e-05,1.16673310230908e-05,0.00298443791821823,0.00382460942717699,0.000952238228109081,0.00136839080763451,0.000798378728410043,0.000545039330624775,0.0976388603292904,0.125359526587785,0.0307596820984035,0.0451606648836123,0.0258592920860181,0.0156330005411052
0.07,9.52215308842597e-05,-1.57067435384015,3.04763389529228e-05,-1.57075276193009,2.55363506624917e-05,1.79202721426464e-05,0.00403706007961357,0.00517675217290048,0.00128274450590027,0.0018563399142657,0.00107644658222306,0.000707470690358036,0.112834008174207,0.145009682915188,0.0353144038380868,0.0524156000104303,0.0297338796800379,0.0167861802728515
0.08,0.000141483215017502,-1.57061501278346,4.51433794665945e-05,-1.57073145785927,3.78505610996172e-05,2.58485010249387e-05,0.00524008593688352,0.00672361577639435,0.00165798328496791,0.00241642890140525,0.00139264993442012,0.000879430853572671,0.127719514622749,0.164303648091627,0.0397062204481036,0.0595883637057729,0.0334865517286098,0.0175397372566044
0.09,0.000200514266282426,-1.57053924433261,6.37796864886297e-05,-1.57070419565065,5.35124188445479e-05,3.55274224972391e-05,0.00659041663224569,0.00846163690362189,0.00207632669904001,0.00304782776158419,0.00174577446499846,0.00105695297276753,0.142294901185474,0.183241145519311,0.043935373155801,0.0666772998818663,0.0371182789575681,0.0178995573941618
